Track Name,Artist Name,Album Name,Disc Number,Track Number
One Dance,"Drake, WizKid, Kyla",Views,1,12
Heathens,Twenty One Pilots,Heathens,1,1
Cold Water,"Major Lazer, Justin Bieber, MØ",Cold Water,1,1
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic, Ty Dolla $ign",Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),1,1
Closer,"The Chainsmokers, Halsey",Closer,1,1
Treat You Better,Shawn Mendes,Illuminate (Deluxe),1,3
Perfect Strangers,"Jonas Blue, JP Cooper",Perfect Strangers,1,1
Let Me Love You,"DJ Snake, Justin Bieber",Encore,1,13
Don't Let Me Down (feat. Daya),"The Chainsmokers, Daya",Don't Let Me Down (feat. Daya),1,1
This Is What You Came For (feat. Rihanna),"Calvin Harris, Rihanna",This Is What You Came For (feat. Rihanna),1,1
Ride,Twenty One Pilots,Blurryface,1,3
Final Song,MØ,Final Song,1,1
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,1,5
No Money,Galantis,No Money,1,1
Kill Em With Kindness,Selena Gomez,Revival (Deluxe),1,2
Into You,Ariana Grande,Dangerous Woman,1,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",1,1
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",us,1,6
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",This Girl (Kungs Vs. Cookin' On 3 Burners),1,1
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016],1,1
Send My Love (To Your New Lover),Adele,25,1,2
Cheap Thrills,Sia,This Is Acting,1,6
Sex (Cheat Codes X Kris Kross Amsterdam),"Cheat Codes, Kris Kross Amsterdam",Sex (Cheat Codes X Kris Kross Amsterdam),1,1
Cake By The Ocean,DNCE,SWAAY,1,1
Faded,Alan Walker,Faded,1,1
Stressed Out,Twenty One Pilots,Blurryface,1,2
Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse ODG",Peace Is The Mission (Extended),1,10
Never Be Like You,"Flume, kai",Skin,1,2
DUELE EL CORAZON (feat. Wisin),"Enrique Iglesias, Wisin",DUELE EL CORAZON (feat. Wisin),1,1
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",1,13
Work from Home (feat. Ty Dolla $ign),"Fifth Harmony, Ty Dolla $ign",7/27 (Deluxe),1,2
Fast Car,"Jonas Blue, Dakota",Fast Car,1,1
7 Years,Lukas Graham,Lukas Graham,1,1
Middle,"DJ Snake, Bipolar Sunshine",Encore,1,2
Work,"Rihanna, Drake",ANTI,1,4
Love Yourself,Justin Bieber,Purpose (Deluxe),1,5
Ain't Your Mama,Jennifer Lopez,Ain't Your Mama,1,1
"Me, Myself & I","G-Eazy, Bebe Rexha",When It's Dark Out,1,3
PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),1,2
Sorry,Justin Bieber,Purpose (Deluxe),1,4
Hymn for the Weekend,Coldplay,A Head Full of Dreams,1,3
